t,o,h,l,c,v
1724518860,354093.11000000,354137.67059384,354093.11000000,354137.67059384,0.00009529
1724518920,354093.11000001,354093.11000001,354093.11000001,354093.11000001,0.00022278
1724518980,354093.11000000,354093.11000001,354093.11000000,354093.11000001,0.00050774
1724519040,354093.11000001,354093.11000001,354093.11000001,354093.11000001,0.00032822
1724519100,354093.11000000,354093.11000001,353887.15530760,353887.15530760,0.00146960
1724519160,353899.77510742,354173.33999996,353899.77510742,354173.33999996,0.04235691
1724519220,354138.95123010,354140.09629510,354138.95123010,354140.09629508,0.00535355
1724519280,354140.09629508,354140.09629508,354140.09629508,354140.09629508,0.00001330
1724519340,354140.09629508,354140.09629508,354140.09629508,354140.09629508,0.00000542
1724519400,354139.60332698,354139.60332698,354139.60332698,354139.60332698,0.00374404
1724519460,354140.08999999,354500.00000000,354140.08999999,354226.32592910,0.01258020
1724519520,354226.32592909,354500.00000000,354163.13013886,354500.00000000,0.01731571
1724519580,354232.98000000,354269.00000000,354171.14584273,354171.14584273,0.00035986
1724519640,354171.14584273,354171.14584274,354171.14584273,354171.14584274,0.00030287
1724519700,354267.69055487,354267.69055487,353384.01001000,354229.82763702,0.33057200
1724519760,354231.57015252,354231.57015252,354231.57015252,354231.57015252,0.00001323
1724519820,354286.96059486,354391.77522569,353787.64000010,354391.77522569,0.03073165
1724519880,354045.23736642,354138.41303461,354037.42915368,354138.41303461,0.00104516
1724519940,354138.41303461,354277.54828654,353950.66750756,353950.66750757,0.03005567
1724520000,353950.66750756,353950.66750756,353950.66750756,353950.66750756,0.00599418
1724520060,353950.66750757,353950.66750757,353950.66750756,353950.66750756,0.00002627
1724520120,353950.66750756,353950.66750756,353950.66750756,353950.66750756,0.00000300
1724520180,353950.66750757,353950.66750757,353950.66750756,353950.66750757,0.00202200
1724520240,353950.66750757,353950.66750757,353950.66750757,353950.66750757,0.00000798
1724520300,353950.66750756,353950.66750756,353702.51261259,353702.51261259,0.01117564
1724520360,353715.57191110,353786.10687632,353690.33399267,353690.33399267,0.01998598
1724520420,353701.17310671,353701.17310671,353701.17310671,353701.17310671,0.00023230
1724520480,353642.51415852,353642.51415852,353642.51415852,353642.51415852,0.00279971
1724520540,353720.31980872,353720.31980874,353585.62953415,353585.62953415,0.00283347
1724520600,353614.28049717,353614.28049717,353614.28049717,353614.28049717,0.00159265
1724520660,353565.55145672,353628.52466449,353565.55145672,353628.52466449,0.00040165
1724520720,353694.36037684,353817.74968648,353690.29600302,353817.74968648,0.04298957
1724520780,353801.71641763,353838.92231777,353801.71641763,353818.69834409,0.01421280
1724520840,353801.82698745,353804.78135457,353786.79548952,353786.79548952,0.02547699
1724520900,353763.57942657,353763.57942657,353206.67000000,353206.67000000,0.00119077
1724520960,353743.38437726,353839.67000000,353615.99594255,353839.67000000,0.01566406
1724521020,353630.09539350,353630.09539350,353630.09539350,353630.09539350,0.00036504
1724521080,353520.70252865,353520.70252866,353520.70252865,353520.70252866,0.00022375
1724521140,353520.70252865,353520.70252865,353520.70252865,353520.70252865,0.00006046
1724521200,353743.90313842,353743.90313842,353739.01257145,353739.01257145,0.00076518
1724521260,353710.93796806,353710.93796807,353710.93796806,353710.93796807,0.00482944
1724521320,353494.52026071,353494.52026071,353487.82982186,353487.82982186,0.01460024
1724521380,353484.08946794,353484.08946794,353410.32142469,353410.32142469,0.00107633
1724521440,353410.32142470,353410.32142470,353410.32142469,353410.32142469,0.00155245
1724521500,353410.32142470,353410.32142470,353275.58502542,353280.05057214,0.00727309
1724521560,353371.46814671,353377.11845643,353371.46814671,353375.68935139,0.00010827
1724521620,353377.11845643,353377.11845643,353377.11845643,353377.11845643,0.01448713
1724521680,353373.76559585,353373.76559585,353364.44156028,353364.44156028,0.00012137
1724521860,353410.31999998,353410.31999998,353410.31999997,353410.31999997,0.00523374
1724521920,353410.31999998,353540.77660765,353410.31999998,353540.77660765,0.03875884
1724521980,353503.08499127,353535.21103270,353503.08499127,353533.67867402,0.00038539
1724522040,353535.21103270,353535.21103270,353535.21103270,353535.21103270,0.00002743
1724522100,353390.87170527,353390.87170527,353377.81577202,353377.81577202,0.00148978
1724522160,353379.51269635,353379.51269635,353322.22849563,353322.22849563,0.00024013
1724522220,353045.96100256,353045.96100256,353000.00000001,353000.00000001,0.06506886
1724522280,353000.00000001,353000.00000001,352733.90974488,352733.90974488,0.00827327
1724522400,352706.33000000,353093.79925376,352703.00000000,353058.59533250,0.04330062
1724522460,353121.20896965,353279.54491172,353116.63139093,353279.54491172,0.01302718
1724522520,352810.33000000,353184.04421412,352810.33000000,353184.04421412,0.00000838
1724522580,352872.83050286,352872.83050286,352872.83050286,352872.83050286,0.00005253
1724522640,352755.88648169,352791.65716574,352755.88648169,352791.65716574,0.00102596
1724522700,352767.91745946,352767.91745947,352767.91745946,352767.91745947,0.00014153
1724522760,352635.81640722,352635.81640722,352635.81640721,352635.81640721,0.02540486
1724522820,352705.78378920,352800.00000000,352705.78378920,352799.99999999,0.00521652
1724522880,352800.00000000,352800.00000000,352694.84984905,352694.84984905,0.00010240
1724522940,352657.66058726,352674.83881950,352657.66058726,352674.83881950,0.06974611
1724523060,352628.56993762,352773.35999986,352628.56993762,352773.35999986,0.00010900
1724523120,352643.36725067,352659.70936430,352592.08091072,352659.70936430,0.00002094
1724523180,352685.66129254,352685.66129254,352646.30002906,352648.13911084,0.01030856
1724523240,352648.13911084,352648.17044116,352648.13911084,352648.17044116,0.00139764
1724523300,352539.01731723,352633.97994481,352436.33000000,352626.48472664,0.01460721
1724523360,352626.48472664,352626.48472664,352626.48472664,352626.48472664,0.00236210
1724523420,352730.55765165,352730.55765165,352730.55765165,352730.55765165,0.00022320
1724523480,352796.66999999,352796.66999999,352796.66999999,352796.66999999,0.00027289
1724523540,352770.88073736,352770.88073737,352755.39358600,352755.39358600,0.00657421
1724523600,352740.48513602,352800.00000000,352740.48513602,352800.00000000,0.05351020
1724523660,352800.00000000,354748.00000000,352799.99999999,354748.00000000,0.55108001
1724523720,354145.50530386,354569.67000000,354093.32864594,354240.98054789,0.00065409
1724523780,354019.92692380,354316.33690944,354019.92692380,354316.33690944,0.00040518
1724523840,354705.67000000,354958.00000000,354270.10424344,354553.67000000,0.01987862
1724523900,354245.74175272,354297.13826542,354245.74175272,354297.13826542,0.00060000
1724523960,354319.24469053,354553.67000000,354319.24469053,354337.14566801,0.00198928
1724524020,354401.63586396,354446.81954380,354401.63586396,354446.81954380,0.00838912
1724524080,354553.67000000,354713.67000000,354533.10106131,354533.10106131,0.00194120
1724524140,354489.91000028,354713.67000000,354489.91000028,354586.24869646,0.00530812
1724524200,354606.98583132,354809.67000000,354606.98583132,354809.67000000,0.00074705
1724524260,354749.47307751,354749.47307751,354543.06922843,354726.67000000,0.00338531
1724524320,354508.38266435,354892.67000000,354508.38266434,354892.67000000,0.00182108
1724524380,354636.83236185,354636.83236185,354547.62942917,354547.62942917,0.03558270
1724524440,354464.72990325,354615.00000000,354464.72990325,354464.72990327,0.00141546
1724524500,354403.33000002,354403.33000002,354403.33000002,354403.33000002,0.00000812
1724524560,354403.33000001,354430.76457522,354400.00000001,354430.76457522,0.00709247
1724524680,354458.59748793,354458.59748794,354458.59748793,354458.59748794,0.00030206
1724524740,354458.59748793,354458.59748793,354400.00000000,354400.00000000,0.04306416
1724524800,354403.33000003,354403.33000003,353633.83164987,353633.83164987,0.13457804
1724524860,353816.32094969,353816.32094969,353808.82328090,353808.82328090,0.00591098
1724524920,353607.77735502,353720.00000000,353607.77735502,353720.00000000,0.00584684
1724524980,353924.01128651,353924.01128651,353924.01128651,353924.01128651,0.00003426
1724525040,354038.25479412,354038.25479412,354038.25479412,354038.25479412,0.00013096
1724525100,353892.71206261,353892.71206261,353723.33000000,353723.33000000,0.00067951
1724525220,354067.32654033,354457.00000000,353756.63000008,354131.72030690,0.11320454
1724525280,354132.68953340,354132.68953340,354132.14602046,354132.14602046,0.06983222
1724525340,354138.81172546,354138.81172546,354138.81172546,354138.81172546,0.00030000
1724525400,354141.95482367,354141.95482367,354141.95482367,354141.95482367,0.00000380
1724525460,354096.78625623,354096.78625623,354096.72071933,354096.72071933,0.00136268
1724525520,354098.67447274,354307.69999990,354049.16591448,354274.39999981,0.00986692
1724525580,354254.41999975,354254.41999975,354049.16591448,354049.16591448,0.00001392
1724525640,354085.58979423,354085.58979423,354085.58979423,354085.58979423,0.00079785
1724525700,354150.34541413,354150.34541413,354109.82148548,354109.82148548,0.00027078
